athlete_id,first_name,last_name,sport,position,school,grad_year,contract_tenure_renewal,earning_trajectory_vs_cohort,market_depth_demand,revenue_source_diversification,season_adjusted_earnings,off_field_revenue_stability,post_career_transition,top3_sponsor_dependency,category_diversity_index,renewal_rate_vs_industry,sponsor_credit_quality,contract_duration_distribution,authentic_reach_vs_followers,conversion_clickthrough,audience_demographic_alignment,content_consistency,platform_diversification,brand_safety_index,ncaa_eligibility_status,transfer_portal_probability,draft_timeline_declaration,academic_standing,conference_realignment_impact,position_specific_injury_rate,historical_medical_record,workload_snap_count_trends,recovery_timeline_model,insurance_availability,sentiment_analysis,controversy_exposure_index,brand_safety_classification,media_cycle_resilience,community_standing
ath-029,Daniel,Lopez,Basketball,PF,Houston,2026,63,68,57,54,58,48,56,56,60,50,54,63,58,61,47,47,57,64,67,63,51,52,60,45,51,63,57,56,54,61,46,48,61
ath-030,Jason,Hill,Basketball,C,Purdue,2028,40,49,46,51,48,62,39,49,55,45,58,56,43,54,62,56,45,58,43,40,56,55,39,55,50,60,53,51,53,52,54,62,61
ath-031,Brian,Scott,Football,QB,Florida State,2027,85,77,84,98,76,86,83,75,94,79,87,75,81,83,80,80,94,77,81,78,79,79,85,88,75,95,74,83,84,76,77,83,92
ath-032,Steven,Adams,Football,WR,Arkansas,2026,79,71,76,62,69,63,75,71,67,78,73,73,80,66,57,68,79,72,63,79,70,63,68,76,63,58,58,65,66,57,60,64,78
ath-033,Adam,Nelson,Football,RB,Michigan State,2027,54,59,74,53,69,61,66,53,64,56,54,74,73,53,67,57,62,73,56,55,65,56,62,66,74,61,72,55,69,56,75,61,69
ath-034,Mark,Carter,Football,LB,Stanford,2026,58,50,46,53,49,44,50,52,53,53,53,45,50,60,64,47,47,54,46,67,56,47,66,65,55,67,49,53,45,55,48,50,51
ath-035,Zach,Perez,Football,DE,Virginia Tech,2028,57,61,58,61,55,61,39,58,41,60,40,44,56,42,45,55,47,56,51,49,50,38,38,59,55,47,61,50,53,59,58,48,47
ath-036,Luke,Roberts,Football,CB,Pittsburgh,2027,44,35,49,39,30,45,41,47,38,54,37,49,46,50,44,37,37,45,45,44,47,51,35,43,37,47,44,54,37,42,43,54,37
ath-037,Grant,Turner,Football,TE,Missouri,2026,36,46,32,42,35,46,35,26,49,41,47,38,45,47,41,38,43,29,37,31,35,28,34,33,38,47,35,29,26,25,28,43,33
ath-038,Jake,Phillips,Football,OT,Minnesota,2027,34,22,39,25,24,43,34,40,22,28,34,42,25,31,22,41,22,31,37,43,33,40,22,41,39,34,39,27,26,30,25,26,34
ath-039,Cole,Campbell,Football,S,South Carolina,2026,23,23,34,33,19,27,22,35,38,18,21,31,18,36,17,30,36,33,29,33,25,33,21,38,32,20,17,23,33,17,19,28,19
ath-040,Drew,Parker,Football,DT,NC State,2028,14,33,18,16,24,23,10,19,23,30,26,16,19,11,29,28,16,23,19,15,14,17,20,34,33,14,27,21,19,16,29,24,21
ath-041,Ian,Evans,Basketball,PG,Connecticut,2027,75,85,81,84,85,84,78,75,83,95,79,71,72,83,93,82,90,94,74,77,90,93,85,79,89,90,91,90,89,87,73,81,71
ath-042,Kyle,Edwards,Basketball,SG,Indiana,2026,69,80,83,85,80,81,73,83,79,76,78,80,80,83,80,79,72,86,77,87,79,80,66,72,72,87,76,81,77,75,65,85,66
ath-043,Max,Collins,Basketball,SF,Marquette,2027,57,65,76,74,66,73,57,69,72,74,73,55,71,67,73,73,66,72,60,54,61,60,56,73,57,58,59,69,56,54,74,68,75
ath-044,Peter,Stewart,Basketball,PF,Creighton,2026,51,57,59,55,49,55,65,61,62,58,69,60,64,52,56,61,48,65,61,51,63,70,61,51,61,59,54,47,53,52,52,56,71
ath-045,Sam,Sanchez,Basketball,C,St. Johns,2028,46,51,45,48,52,41,60,55,63,46,53,63,59,55,45,56,42,50,50,52,60,46,58,58,41,43,42,60,63,60,43,62,58
ath-046,Will,Morris,Football,QB,BYU,2027,78,61,62,77,70,77,62,68,79,80,63,66,60,77,68,80,59,83,80,79,72,82,82,66,73,61,66,79,74,61,74,70,75
ath-047,Alex,Rogers,Football,WR,Memphis,2026,50,36,54,40,43,37,50,57,43,55,52,43,58,40,40,51,43,39,55,36,35,52,38,44,54,55,54,56,54,56,57,52,48
ath-048,Ben,Reed,Football,RB,UCF,2027,36,45,33,29,52,41,36,44,35,32,31,46,34,39,52,49,50,36,52,52,32,42,38,48,47,46,32,43,31,45,31,42,44
ath-049,Chase,Cook,Football,LB,SMU,2026,33,42,28,27,24,43,32,48,45,34,40,47,31,29,30,45,30,30,37,43,26,46,44,25,40,25,45,46,40,26,46,25,36
ath-050,Dane,Morgan,Football,DE,Cincinnati,2028,19,41,29,39,37,36,27,27,40,20,21,25,31,43,37,21,34,29,35,41,21,35,41,41,41,25,24,40,29,31,26,36,34
